age,education,default,housing,loan,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,marital_unknown,contact_cellular,contact_telephone,month_apr,month_aug,month_dec,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,poutcome_failure,poutcome_nonexistent,poutcome_success,y
1,1.0,0.00030156815440289503,0.0,0.0,-0.5986595165155467,-4.931864091967967,5.186534189267775,-0.7581760532768491,1.7630479089052589,-1.9592641693581916,-1.5324709448877238,-2.7543382778102616,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2,6.0,0.0,0.0,0.0,-0.5986595165155467,0.20103133533451342,-0.3513559841342725,-1.142071707371054,0.7721600623227324,0.4786879131176639,-1.5676622894558865,-2.3742080155111576,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3,4.0,0.0,0.0,0.0,0.9590654035902885,0.20103133533451342,-0.3513559841342725,-1.2060543163867548,-1.185447634584242,-1.2409390022001279,-1.358821851198921,-0.9147793298985275,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4,3.0,0.00030156815440289503,1.0,0.0,-0.5986595165155467,0.20103133533451342,-0.3513559841342725,0.8413891721156713,1.528273088112193,-0.28317211265604075,0.7168905710346754,0.8365350928366287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,6.0,0.0,0.0,0.0,2.516790323696124,0.20103133533451342,-0.3513559841342725,0.8413891721156713,0.5839949485988569,-0.4790789764264232,0.7705429488189234,0.8365350928366287,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,2.0,0.0,0.0,1.0,-0.20922828648908795,0.20103133533451342,-0.3513559841342725,0.8413891721156713,0.5839949485988569,-0.4790789764264232,0.7728505779709344,0.8365350928366287,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,6.0,0.0,1.0,0.0,-0.5986595165155467,0.20103133533451342,-0.3513559841342725,-1.2060543163867548,-0.8712636832287773,-1.4368458659705088,-1.2359405988543528,-0.9147793298985275,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1.0,0.0,0.0,0.0,0.18020294353737087,-4.973552582748088,1.4946074069997435,-0.7581760532768491,1.0690811592080847,0.6528273475802244,-1.582084971655953,-2.7543382778102616,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
7,2.0,0.0,1.0,0.0,-0.20922828648908795,0.20103133533451342,-0.3513559841342725,0.649441345068569,0.7151926425714699,0.8922690699662461,0.7128522200186569,0.3328624952903114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
8,6.0,0.00030156815440289503,0.0,0.0,1.3484966336167474,0.20103133533451342,-0.3513559841342725,0.8413891721156713,-0.2342643532828657,0.9575713578897059,0.7745812998349418,0.8365350928366287,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
